id,name,logo,symbol,cardCount,sdk
base1,Base Set,https://assets.tcgdex.net/en/base/base1/logo,,"SetCardCountResume(total=102, official=102)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
base2,Jungle,https://assets.tcgdex.net/en/base/base2/logo,https://assets.tcgdex.net/univ/base/base2/symbol,"SetCardCountResume(total=64, official=64)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
basep,Wizards Black Star Promos,https://assets.tcgdex.net/en/base/basep/logo,https://assets.tcgdex.net/univ/base/basep/symbol,"SetCardCountResume(total=53, official=53)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
wp,W Promotional,,,"SetCardCountResume(total=7, official=7)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
base3,Fossil,https://assets.tcgdex.net/en/base/base3/logo,https://assets.tcgdex.net/univ/base/base3/symbol,"SetCardCountResume(total=62, official=62)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
jumbo,Jumbo cards,,,"SetCardCountResume(total=160, official=160)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
base4,Base Set 2,https://assets.tcgdex.net/en/base/base4/logo,https://assets.tcgdex.net/univ/base/base4/symbol,"SetCardCountResume(total=130, official=130)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
base5,Team Rocket,https://assets.tcgdex.net/en/base/base5/logo,https://assets.tcgdex.net/univ/base/base5/symbol,"SetCardCountResume(total=83, official=82)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
gym1,Gym Heroes,https://assets.tcgdex.net/en/gym/gym1/logo,https://assets.tcgdex.net/univ/gym/gym1/symbol,"SetCardCountResume(total=132, official=132)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
gym2,Gym Challenge,https://assets.tcgdex.net/en/gym/gym2/logo,https://assets.tcgdex.net/univ/gym/gym2/symbol,"SetCardCountResume(total=132, official=132)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
neo1,Neo Genesis,https://assets.tcgdex.net/en/neo/neo1/logo,https://assets.tcgdex.net/univ/neo/neo1/symbol,"SetCardCountResume(total=111, official=111)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
neo2,Neo Discovery,https://assets.tcgdex.net/en/neo/neo2/logo,https://assets.tcgdex.net/univ/neo/neo2/symbol,"SetCardCountResume(total=75, official=75)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
si1,Southern Islands,https://assets.tcgdex.net/en/neo/si1/logo,https://assets.tcgdex.net/univ/neo/si1/symbol,"SetCardCountResume(total=18, official=18)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
neo3,Neo Revelation,https://assets.tcgdex.net/en/neo/neo3/logo,https://assets.tcgdex.net/univ/neo/neo3/symbol,"SetCardCountResume(total=66, official=64)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
neo4,Neo Destiny,https://assets.tcgdex.net/en/neo/neo4/logo,https://assets.tcgdex.net/univ/neo/neo4/symbol,"SetCardCountResume(total=113, official=105)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
lc,Legendary Collection,https://assets.tcgdex.net/en/lc/lc/logo,https://assets.tcgdex.net/univ/lc/lc/symbol,"SetCardCountResume(total=110, official=110)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
sp,Sample,,https://assets.tcgdex.net/univ/ecard/sp/symbol,"SetCardCountResume(total=10, official=10)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ecard1,Expedition Base Set,https://assets.tcgdex.net/en/ecard/ecard1/logo,https://assets.tcgdex.net/univ/ecard/ecard1/symbol,"SetCardCountResume(total=165, official=165)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
bog,Best of game,,https://assets.tcgdex.net/univ/ecard/bog/symbol,"SetCardCountResume(total=9, official=9)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ecard2,Aquapolis,https://assets.tcgdex.net/en/ecard/ecard2/logo,https://assets.tcgdex.net/univ/ecard/ecard2/symbol,"SetCardCountResume(total=186, official=147)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ecard3,Skyridge,https://assets.tcgdex.net/en/ecard/ecard3/logo,https://assets.tcgdex.net/univ/ecard/ecard3/symbol,"SetCardCountResume(total=182, official=144)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ex1,Ruby & Sapphire,https://assets.tcgdex.net/en/ex/ex1/logo,https://assets.tcgdex.net/univ/ex/ex1/symbol,"SetCardCountResume(total=109, official=109)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ex2,Sandstorm,https://assets.tcgdex.net/en/ex/ex2/logo,https://assets.tcgdex.net/univ/ex/ex2/symbol,"SetCardCountResume(total=100, official=100)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
np,Nintendo Black Star Promos,https://assets.tcgdex.net/en/pop/np/logo,https://assets.tcgdex.net/univ/pop/np/symbol,"SetCardCountResume(total=40, official=40)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ex3,Dragon,https://assets.tcgdex.net/en/ex/ex3/logo,https://assets.tcgdex.net/univ/ex/ex3/symbol,"SetCardCountResume(total=100, official=97)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ex4,Team Magma vs Team Aqua,https://assets.tcgdex.net/en/ex/ex4/logo,https://assets.tcgdex.net/univ/ex/ex4/symbol,"SetCardCountResume(total=97, official=95)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ex5,Hidden Legends,https://assets.tcgdex.net/en/ex/ex5/logo,https://assets.tcgdex.net/univ/ex/ex5/symbol,"SetCardCountResume(total=102, official=101)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
ex5.5,Poké Card Creator Pack,,,"SetCardCountResume(total=5, official=5)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
tk-ex-latio,EX trainer Kit (Latios),,https://assets.tcgdex.net/univ/tk/tk-ex-latio/symbol,"SetCardCountResume(total=10, official=10)",<tcgdexsdk.tcgdex.TCGdex object at 0x0000017B117AD160>
