Category,Average Mean Surface Air Temperature (degC)
1950,25.02
1951,25.15
1952,25.27
1953,25.3
1954,25.23
1955,25.01
1956,24.77
1957,25.15
1958,25.28
1959,25.32
1960,25.42
1961,25.21
1962,25.14
1963,25.0
1964,24.67
1965,24.41
1966,24.94
1967,24.98
1968,25.19
1969,25.5
1970,25.51
1971,25.0
1972,25.17
1973,25.65
1974,25.16
1975,25.25
1976,25.06
1977,25.41
1978,25.52
1979,25.52
1980,25.48
1981,25.39
1982,25.28
1983,25.69
1984,25.3
1985,25.38
1986,25.43
1987,25.84
1988,25.9
1989,25.49
1990,25.74
1991,25.66
1992,25.6
1993,25.62
1994,25.64
1995,25.52
1996,25.39
1997,25.42
1998,26.25
1999,25.44
2000,25.56
2001,25.75
2002,25.87
2003,25.77
2004,25.83
2005,25.94
2006,26.06
2007,26.05
2008,25.79
2009,25.91
2010,26.27
2011,25.77
2012,26.0
2013,26.09
2014,25.92
2015,26.14
2016,26.5
2017,26.12
2018,26.24
2019,26.35
2020,26.43
2021,26.24
2022,26.21
2023,26.43
